#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
雷属性攻撃強化,雷属性攻撃強化Lv1,1,戦闘(属性・異常),雷属性攻撃値+2,15,150,3,雷属性武器の属性値を強化する。,雷属性攻撃強化 雷属性攻撃強化Lv1 雷属性武器の属性値を強化する。 雷属性攻撃値+2
雷属性攻撃強化,雷属性攻撃強化Lv2,2,戦闘(属性・異常),雷属性攻撃値+3,15,150,3,雷属性武器の属性値を強化する。,雷属性攻撃強化 雷属性攻撃強化Lv2 雷属性武器の属性値を強化する。 雷属性攻撃値+3
雷属性攻撃強化,雷属性攻撃強化Lv3,3,戦闘(属性・異常),雷属性攻撃値を1.05倍し、雷属性攻撃値に+4,15,150,3,雷属性武器の属性値を強化する。,雷属性攻撃強化 雷属性攻撃強化Lv3 雷属性武器の属性値を強化する。 雷属性攻撃値を1.05倍し、雷属性攻撃値に+4
雷属性攻撃強化,雷属性攻撃強化Lv4,4,戦闘(属性・異常),雷属性攻撃値を1.1倍し、雷属性攻撃値に+4,15,150,3,雷属性武器の属性値を強化する。,雷属性攻撃強化 雷属性攻撃強化Lv4 雷属性武器の属性値を強化する。 雷属性攻撃値を1.1倍し、雷属性攻撃値に+4
雷属性攻撃強化,雷属性攻撃強化Lv5,5,戦闘(属性・異常),雷属性攻撃値を1.2倍し、雷属性攻撃値に+4,15,150,3,雷属性武器の属性値を強化する。,雷属性攻撃強化 雷属性攻撃強化Lv5 雷属性武器の属性値を強化する。 雷属性攻撃値を1.2倍し、雷属性攻撃値に+4
龍属性攻撃強化,龍属性攻撃強化Lv1,1,戦闘(属性・異常),龍属性攻撃値+2,16,160,3,龍属性武器の属性値を強化する。,龍属性攻撃強化 龍属性攻撃強化Lv1 龍属性武器の属性値を強化する。 龍属性攻撃値+2
龍属性攻撃強化,龍属性攻撃強化Lv2,2,戦闘(属性・異常),龍属性攻撃値+3,16,160,3,龍属性武器の属性値を強化する。,龍属性攻撃強化 龍属性攻撃強化Lv2 龍属性武器の属性値を強化する。 龍属性攻撃値+3
龍属性攻撃強化,龍属性攻撃強化Lv3,3,戦闘(属性・異常),龍属性攻撃値を1.05倍し、龍属性攻撃値に+4,16,160,3,龍属性武器の属性値を強化する。,龍属性攻撃強化 龍属性攻撃強化Lv3 龍属性武器の属性値を強化する。 龍属性攻撃値を1.05倍し、龍属性攻撃値に+4
龍属性攻撃強化,龍属性攻撃強化Lv4,4,戦闘(属性・異常),龍属性攻撃値を1.1倍し、龍属性攻撃値に+4,16,160,3,龍属性武器の属性値を強化する。,龍属性攻撃強化 龍属性攻撃強化Lv4 龍属性武器の属性値を強化する。 龍属性攻撃値を1.1倍し、龍属性攻撃値に+4
龍属性攻撃強化,龍属性攻撃強化Lv5,5,戦闘(属性・異常),龍属性攻撃値を1.2倍し、龍属性攻撃値に+4,16,160,3,龍属性武器の属性値を強化する。,龍属性攻撃強化 龍属性攻撃強化Lv5 龍属性武器の属性値を強化する。 龍属性攻撃値を1.2倍し、龍属性攻撃値に+4
チャージマスター,チャージマスターLv1,1,戦闘(属性・異常),溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる,,,9,溜め攻撃命中時の属性値と状態異常蓄積値を高める。,チャージマスター チャージマスターLv1 溜め攻撃命中時の属性値と状態異常蓄積値を高める。 溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる
チャージマスター,チャージマスターLv2,2,戦闘(属性・異常),溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる,,,9,溜め攻撃命中時の属性値と状態異常蓄積値を高める。,チャージマスター チャージマスターLv2 溜め攻撃命中時の属性値と状態異常蓄積値を高める。 溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる
チャージマスター,チャージマスターLv3,3,戦闘(属性・異常),溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる,,,9,溜め攻撃命中時の属性値と状態異常蓄積値を高める。,チャージマスター チャージマスターLv3 溜め攻撃命中時の属性値と状態異常蓄積値を高める。 溜め攻撃をモンスターに当てた際、溜め攻撃の属性値と状態異常蓄積値が上がる
弱点特効【属性】,弱点特効【属性】Lv1,1,戦闘(攻撃),属性が有効な部位を攻撃した際、属性ダメージが増加,,,9,属性が有効な部位への属性ダメージを高める。,弱点特効【属性】 弱点特効【属性】Lv1 属性が有効な部位への属性ダメージを高める。 属性が有効な部位を攻撃した際、属性ダメージが増加
弱点特効【属性】,弱点特効【属性】Lv2,2,戦闘(攻撃),属性が有効な部位を攻撃した際、属性ダメージが増加,,,9,属性が有効な部位への属性ダメージを高める。,弱点特効【属性】 弱点特効【属性】Lv2 属性が有効な部位への属性ダメージを高める。 属性が有効な部位を攻撃した際、属性ダメージが増加
弱点特効【属性】,弱点特効【属性】Lv3,3,戦闘(攻撃),属性が有効な部位を攻撃した際、属性ダメージが増加,,,9,属性が有効な部位への属性ダメージを高める。,弱点特効【属性】 弱点特効【属性】Lv3 属性が有効な部位への属性ダメージを高める。 属性が有効な部位を攻撃した際、属性ダメージが増加
毒属性強化,毒属性強化Lv1,1,戦闘(属性・異常),毒の蓄積値を1.05倍し、毒の蓄積値に+1,17,170,6,毒属性の蓄積値を強化する。,毒属性強化 毒属性強化Lv1 毒属性の蓄積値を強化する。 毒の蓄積値を1.05倍し、毒の蓄積値に+1
毒属性強化,毒属性強化Lv2,2,戦闘(属性・異常),毒の蓄積値を1.1倍し、毒の蓄積値に+2,17,170,6,毒属性の蓄積値を強化する。,毒属性強化 毒属性強化Lv2 毒属性の蓄積値を強化する。 毒の蓄積値を1.1倍し、毒の蓄積値に+2
毒属性強化,毒属性強化Lv3,3,戦闘(属性・異常),毒の蓄積値を1.2倍し、毒の蓄積値に+5,17,170,6,毒属性の蓄積値を強化する。,毒属性強化 毒属性強化Lv3 毒属性の蓄積値を強化する。 毒の蓄積値を1.2倍し、毒の蓄積値に+5
麻痺属性強化,麻痺属性強化Lv1,1,戦闘(属性・異常),麻痺の蓄積値を1.05倍し、麻痺の蓄積値に+1,18,180,6,麻痺属性の蓄積値を強化する。,麻痺属性強化 麻痺属性強化Lv1 麻痺属性の蓄積値を強化する。 麻痺の蓄積値を1.05倍し、麻痺の蓄積値に+1
麻痺属性強化,麻痺属性強化Lv2,2,戦闘(属性・異常),麻痺の蓄積値を1.1倍し、麻痺の蓄積値に+2,18,180,6,麻痺属性の蓄積値を強化する。,麻痺属性強化 麻痺属性強化Lv2 麻痺属性の蓄積値を強化する。 麻痺の蓄積値を1.1倍し、麻痺の蓄積値に+2
麻痺属性強化,麻痺属性強化Lv3,3,戦闘(属性・異常),麻痺の蓄積値を1.2倍し、麻痺の蓄積値に+5,18,180,6,麻痺属性の蓄積値を強化する。,麻痺属性強化 麻痺属性強化Lv3 麻痺属性の蓄積値を強化する。 麻痺の蓄積値を1.2倍し、麻痺の蓄積値に+5
睡眠属性強化,睡眠属性強化Lv1,1,戦闘(属性・異常),睡眠の蓄積値を1.05倍し、睡眠の蓄積値に+1,19,190,6,睡眠属性の蓄積値を強化する。,睡眠属性強化 睡眠属性強化Lv1 睡眠属性の蓄積値を強化する。 睡眠の蓄積値を1.05倍し、睡眠の蓄積値に+1
睡眠属性強化,睡眠属性強化Lv2,2,戦闘(属性・異常),睡眠の蓄積値を1.1倍し、睡眠の蓄積値に+2,19,190,6,睡眠属性の蓄積値を強化する。,睡眠属性強化 睡眠属性強化Lv2 睡眠属性の蓄積値を強化する。 睡眠の蓄積値を1.1倍し、睡眠の蓄積値に+2
睡眠属性強化,睡眠属性強化Lv3,3,戦闘(属性・異常),睡眠の蓄積値を1.2倍し、睡眠の蓄積値に+5,19,190,6,睡眠属性の蓄積値を強化する。,睡眠属性強化 睡眠属性強化Lv3 睡眠属性の蓄積値を強化する。 睡眠の蓄積値を1.2倍し、睡眠の蓄積値に+5
爆破属性強化,爆破属性強化Lv1,1,戦闘(属性・異常),爆破の蓄積値を1.05倍し、爆破の蓄積値に+1,20,200,6,爆破属性の蓄積値を強化する。,爆破属性強化 爆破属性強化Lv1 爆破属性の蓄積値を強化する。 爆破の蓄積値を1.05倍し、爆破の蓄積値に+1
爆破属性強化,爆破属性強化Lv2,2,戦闘(属性・異常),爆破の蓄積値を1.1倍し、爆破の蓄積値に+2,20,200,6,爆破属性の蓄積値を強化する。,爆破属性強化 爆破属性強化Lv2 爆破属性の蓄積値を強化する。 爆破の蓄積値を1.1倍し、爆破の蓄積値に+2
爆破属性強化,爆破属性強化Lv3,3,戦闘(属性・異常),爆破の蓄積値を1.2倍し、爆破の蓄積値に+5,20,200,6,爆破属性の蓄積値を強化する。,爆破属性強化 爆破属性強化Lv3 爆破属性の蓄積値を強化する。 爆破の蓄積値を1.2倍し、爆破の蓄積値に+5
状態異常確定蓄積,状態異常確定蓄積Lv1,1,戦闘(属性・異常),タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する,,,9,タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。,状態異常確定蓄積 状態異常確定蓄積Lv1 タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。 タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する
状態異常確定蓄積,状態異常確定蓄積Lv2,2,戦闘(属性・異常),タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する,,,9,タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。,状態異常確定蓄積 状態異常確定蓄積Lv2 タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。 タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する
状態異常確定蓄積,状態異常確定蓄積Lv3,3,戦闘(属性・異常),タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する,,,9,タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。,状態異常確定蓄積 状態異常確定蓄積Lv3 タイミングよく攻撃を回避すると、一定時間攻撃時の状態異常蓄積を確定発生させる。 タイミングよくモンスターの攻撃を回避すると、一定時間、攻撃ヒット時の状態異常の蓄積が確定で発生する
蓄積時攻撃強化,蓄積時攻撃強化Lv1,1,戦闘(属性・異常),攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効),,,12,攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。,蓄積時攻撃強化 蓄積時攻撃強化Lv1 攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。 攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効)
蓄積時攻撃強化,蓄積時攻撃強化Lv2,2,戦闘(属性・異常),攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効),,,12,攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。,蓄積時攻撃強化 蓄積時攻撃強化Lv2 攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。 攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効)
蓄積時攻撃強化,蓄積時攻撃強化Lv3,3,戦闘(属性・異常),攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効),,,12,攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。,蓄積時攻撃強化 蓄積時攻撃強化Lv3 攻撃時に状態異常などの蓄積が発生すると、その攻撃の威力を高める。 攻撃がヒットしたときに、毒、麻痺、睡眠、爆破、減気のいずれかが蓄積すると、攻撃の威力が上がる。(減気は弾やビンでの蓄積時のみ有効)
匠,匠Lv1,1,戦闘(剣士専用),斬れ味+10,21,210,12,武器の斬れ味ゲージを延長する。,匠 匠Lv1 武器の斬れ味ゲージを延長する。 斬れ味+10
匠,匠Lv2,2,戦闘(剣士専用),斬れ味+20,21,210,12,武器の斬れ味ゲージを延長する。,匠 匠Lv2 武器の斬れ味ゲージを延長する。 斬れ味+20
匠,匠Lv3,3,戦闘(剣士専用),斬れ味+30,21,210,12,武器の斬れ味ゲージを延長する。,匠 匠Lv3 武器の斬れ味ゲージを延長する。 斬れ味+30
匠,匠Lv4,4,戦闘(剣士専用),斬れ味+40,21,210,12,武器の斬れ味ゲージを延長する。,匠 匠Lv4 武器の斬れ味ゲージを延長する。 斬れ味+40
匠,匠Lv5,5,戦闘(剣士専用),斬れ味+50,21,210,12,武器の斬れ味ゲージを延長する。,匠 匠Lv5 武器の斬れ味ゲージを延長する。 斬れ味+50
業物,業物Lv1,1,戦闘(剣士専用),切れ味の消耗を抑える。発動確率10％,22,220,15,攻撃時に一定確率で斬れ味の消耗を無効化する。,業物 業物Lv1 攻撃時に一定確率で斬れ味の消耗を無効化する。 切れ味の消耗を抑える。発動確率10％
業物,業物Lv2,2,戦闘(剣士専用),切れ味の消耗を抑える。発動確率25％,22,220,15,攻撃時に一定確率で斬れ味の消耗を無効化する。,業物 業物Lv2 攻撃時に一定確率で斬れ味の消耗を無効化する。 切れ味の消耗を抑える。発動確率25％
業物,業物Lv3,3,戦闘(剣士専用),切れ味の消耗を抑える。発動確率50％,22,220,15,攻撃時に一定確率で斬れ味の消耗を無効化する。,業物 業物Lv3 攻撃時に一定確率で斬れ味の消耗を無効化する。 切れ味の消耗を抑える。発動確率50％
剛刃研磨,剛刃研磨Lv1,1,戦闘(剣士専用),武器を研磨すると一定時間、斬れ味が低下しない。発動後30秒効果持続,24,240,9,砥石使用後、一定時間斬れ味を消耗しなくする。,剛刃研磨 剛刃研磨Lv1 砥石使用後、一定時間斬れ味を消耗しなくする。 武器を研磨すると一定時間、斬れ味が低下しない。発動後30秒効果持続
剛刃研磨,剛刃研磨Lv2,2,戦闘(剣士専用),武器を研磨すると一定時間、斬れ味が低下しない。発動後60秒効果持続,24,240,9,砥石使用後、一定時間斬れ味を消耗しなくする。,剛刃研磨 剛刃研磨Lv2 砥石使用後、一定時間斬れ味を消耗しなくする。 武器を研磨すると一定時間、斬れ味が低下しない。発動後60秒効果持続
剛刃研磨,剛刃研磨Lv3,3,戦闘(剣士専用),武器を研磨すると一定時間、斬れ味が低下しない。発動後90秒効果持続,24,240,9,砥石使用後、一定時間斬れ味を消耗しなくする。,剛刃研磨 剛刃研磨Lv3 砥石使用後、一定時間斬れ味を消耗しなくする。 武器を研磨すると一定時間、斬れ味が低下しない。発動後90秒効果持続
達人芸,達人芸Lv1,1,戦闘(剣士専用),効果発動時、20％で斬れ味を消費しない,100,1000,15,会心発生時に一定確率で斬れ味を消耗しなくする。,達人芸 達人芸Lv1 会心発生時に一定確率で斬れ味を消耗しなくする。 効果発動時、20％で斬れ味を消費しない
達人芸,達人芸Lv2,2,戦闘(剣士専用),効果発動時、40％で斬れ味を消費しない,100,1000,15,会心発生時に一定確率で斬れ味を消耗しなくする。,達人芸 達人芸Lv2 会心発生時に一定確率で斬れ味を消耗しなくする。 効果発動時、40％で斬れ味を消費しない
達人芸,達人芸Lv3,3,戦闘(剣士専用),効果発動時、80％で斬れ味を消費しない,100,1000,15,会心発生時に一定確率で斬れ味を消耗しなくする。,達人芸 達人芸Lv3 会心発生時に一定確率で斬れ味を消耗しなくする。 効果発動時、80％で斬れ味を消費しない
研磨術【鋭】,研磨術【鋭】Lv1,1,戦闘(攻撃),斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる,,,9,斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。,研磨術【鋭】 研磨術【鋭】Lv1 斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。 斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる
研磨術【鋭】,研磨術【鋭】Lv2,2,戦闘(攻撃),斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる,,,9,斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。,研磨術【鋭】 研磨術【鋭】Lv2 斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。 斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる
研磨術【鋭】,研磨術【鋭】Lv3,3,戦闘(攻撃),斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる,,,9,斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。,研磨術【鋭】 研磨術【鋭】Lv3 斬れ味を回復した際、回復した段階に応じて斬れ味性能を高める。 斬れ味が回復した際、回復した段階によって斬れ味の性能が上がる
刃鱗磨き,刃鱗磨きLv1,1,戦闘(攻撃),抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる,,,9,抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。,刃鱗磨き 刃鱗磨きLv1 抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。 抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる
刃鱗磨き,刃鱗磨きLv2,2,戦闘(攻撃),抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる,,,9,抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。,刃鱗磨き 刃鱗磨きLv2 抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。 抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる
刃鱗磨き,刃鱗磨きLv3,3,戦闘(攻撃),抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる,,,9,抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。,刃鱗磨き 刃鱗磨きLv3 抜刀中に回避で攻撃をかわすと、斬れ味回復や弾装填、接撃ビン強化などが発生する。 抜刀時、回避による無敵時間中に攻撃を躱すと、切れ味が回復したりボウガンの弾を装填する。弓の場合、接撃ビンの性能が一定時間上がる
心眼,心眼Lv1,1,戦闘(剣士専用),攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。50％の確率で弾かれず硬い部位へのダメージが1.1倍,25,250,9,攻撃が弾かれにくくなり、硬い部位へのダメージも高める。,心眼 心眼Lv1 攻撃が弾かれにくくなり、硬い部位へのダメージも高める。 攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。50％の確率で弾かれず硬い部位へのダメージが1.1倍
心眼,心眼Lv2,2,戦闘(剣士専用),攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。100％の確率で弾かれず硬い部位へのダメージが1.15倍,25,250,9,攻撃が弾かれにくくなり、硬い部位へのダメージも高める。,心眼 心眼Lv2 攻撃が弾かれにくくなり、硬い部位へのダメージも高める。 攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。100％の確率で弾かれず硬い部位へのダメージが1.15倍
心眼,心眼Lv3,3,戦闘(剣士専用),攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。100％の確率で弾かれず硬い部位へのダメージが1.3倍,25,250,9,攻撃が弾かれにくくなり、硬い部位へのダメージも高める。,心眼 心眼Lv3 攻撃が弾かれにくくなり、硬い部位へのダメージも高める。 攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。100％の確率で弾かれず硬い部位へのダメージが1.3倍
鈍器使い,鈍器使いLv1,1,戦闘(剣士専用),斬れ味が黄色以下の時攻撃力が1.05倍,27,270,,斬れ味が悪いほど攻撃力を高める。,鈍器使い 鈍器使いLv1 斬れ味が悪いほど攻撃力を高める。 斬れ味が黄色以下の時攻撃力が1.05倍
鈍器使い,鈍器使いLv2,2,戦闘(剣士専用),斬れ味が黄色以下の時攻撃力が1.1倍,27,270,,斬れ味が悪いほど攻撃力を高める。,鈍器使い 鈍器使いLv2 斬れ味が悪いほど攻撃力を高める。 斬れ味が黄色以下の時攻撃力が1.1倍
鈍器使い,鈍器使いLv3,3,戦闘(剣士専用),斬れ味が緑色以下の時攻撃力が1.1倍,27,270,,斬れ味が悪いほど攻撃力を高める。,鈍器使い 鈍器使いLv3 斬れ味が悪いほど攻撃力を高める。 斬れ味が緑色以下の時攻撃力が1.1倍
弾丸節約,弾丸節約Lv1,1,戦闘(ガンナー専用),まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率3％,23,230,15,一定確率でボウガンの弾や弓のビンを消費せず発射する。,弾丸節約 弾丸節約Lv1 一定確率でボウガンの弾や弓のビンを消費せず発射する。 まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率3％
弾丸節約,弾丸節約Lv2,2,戦闘(ガンナー専用),まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率10％,23,230,15,一定確率でボウガンの弾や弓のビンを消費せず発射する。,弾丸節約 弾丸節約Lv2 一定確率でボウガンの弾や弓のビンを消費せず発射する。 まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率10％
弾丸節約,弾丸節約Lv3,3,戦闘(ガンナー専用),まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率20％,23,230,15,一定確率でボウガンの弾や弓のビンを消費せず発射する。,弾丸節約 弾丸節約Lv3 一定確率でボウガンの弾や弓のビンを消費せず発射する。 まれにボウガンの弾・弓のビンを消費せずに発射できる。発動確率20％
弾導強化,弾導強化Lv1,1,戦闘(ガンナー専用),適正距離がわずかに広くなる,26,260,9,弾・矢が最大威力になる適正距離を広げる。,弾導強化 弾導強化Lv1 弾・矢が最大威力になる適正距離を広げる。 適正距離がわずかに広くなる
弾導強化,弾導強化Lv2,2,戦闘(ガンナー専用),適正距離が広くなる,26,260,9,弾・矢が最大威力になる適正距離を広げる。,弾導強化 弾導強化Lv2 弾・矢が最大威力になる適正距離を広げる。 適正距離が広くなる
弾導強化,弾導強化Lv3,3,戦闘(ガンナー専用),適正距離が大幅に広くなる,26,260,9,弾・矢が最大威力になる適正距離を広げる。,弾導強化 弾導強化Lv3 弾・矢が最大威力になる適正距離を広げる。 適正距離が大幅に広くなる
弓溜め段階解放,弓溜め段階解放Lv1,1,戦闘(ガンナー専用),弓の溜め段階が1段階増える,28,280,,弓の溜め段階を1段階増やす。,弓溜め段階解放 弓溜め段階解放Lv1 弓の溜め段階を1段階増やす。 弓の溜め段階が1段階増える
集中,集中Lv1,1,戦闘(攻撃),ゲージ上昇率5%アップ、溜め時間5%短縮,29,290,9,一部武器のゲージ増加や溜めに必要な時間を短縮する。,集中 集中Lv1 一部武器のゲージ増加や溜めに必要な時間を短縮する。 ゲージ上昇率5%アップ、溜め時間5%短縮
集中,集中Lv2,2,戦闘(攻撃),ゲージ上昇率10%アップ、溜め時間10%短縮,29,290,9,一部武器のゲージ増加や溜めに必要な時間を短縮する。,集中 集中Lv2 一部武器のゲージ増加や溜めに必要な時間を短縮する。 ゲージ上昇率10%アップ、溜め時間10%短縮
集中,集中Lv3,3,戦闘(攻撃),ゲージ上昇率20%アップ、溜め時間15%短縮,29,290,9,一部武器のゲージ増加や溜めに必要な時間を短縮する。,集中 集中Lv3 一部武器のゲージ増加や溜めに必要な時間を短縮する。 ゲージ上昇率20%アップ、溜め時間15%短縮
翔蟲使い,翔蟲使いLv1,1,クエスト,野生の翔虫の使用可能時間が1.3倍になる,89,890,9,翔蟲の使用可能時間や回復速度を高める。,翔蟲使い 翔蟲使いLv1 翔蟲の使用可能時間や回復速度を高める。 野生の翔虫の使用可能時間が1.3倍になる
翔蟲使い,翔蟲使いLv2,2,クエスト,さらに翔虫受け身の回復速度上昇,89,890,9,翔蟲の使用可能時間や回復速度を高める。,翔蟲使い 翔蟲使いLv2 翔蟲の使用可能時間や回復速度を高める。 さらに翔虫受け身の回復速度上昇
翔蟲使い,翔蟲使いLv3,3,クエスト,さらに地上時は回復速度上昇,89,890,9,翔蟲の使用可能時間や回復速度を高める。,翔蟲使い 翔蟲使いLv3 翔蟲の使用可能時間や回復速度を高める。 さらに地上時は回復速度上昇
合気,合気Lv1,1,戦闘(生存),疾替え発動時、タイミングよくモンスターの攻撃が重なった際、受けるダメージが軽減され、ダメージリアクションを無効化する,,,9,疾替え発動時にモンスターの攻撃を受けるタイミングを合わせると、被ダメージを軽減し、ダメージリアクションを無効化する。,合気 合気Lv1 疾替え発動時にモンスターの攻撃を受けるタイミングを合わせると、被ダメージを軽減し、ダメージリアクションを無効化する。 疾替え発動時、タイミングよくモンスターの攻撃が重なった際、受けるダメージが軽減され、ダメージリアクションを無効化する
合気,合気Lv2,2,戦闘(生存),疾替え発動時、タイミングよくモンスターの攻撃が重なった際、受けるダメージが軽減され、ダメージリアクションを無効化する,,,9,疾替え発動時にモンスターの攻撃を受けるタイミングを合わせると、被ダメージを軽減し、ダメージリアクションを無効化する。,合気 合気Lv2 疾替え発動時にモンスターの攻撃を受けるタイミングを合わせると、被ダメージを軽減し、ダメージリアクションを無効化する。 疾替え発動時、タイミングよくモンスターの攻撃が重なった際、受けるダメージが軽減され、ダメージリアクションを無効化する
強化持続,強化持続Lv1,1,戦闘(攻撃),太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を少し延長,30,300,9,太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。,強化持続 強化持続Lv1 太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。 太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を少し延長
強化持続,強化持続Lv2,2,戦闘(攻撃),太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を延長,30,300,9,太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。,強化持続 強化持続Lv2 太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。 太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を延長
強化持続,強化持続Lv3,3,戦闘(攻撃),太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を大きく延長,30,300,9,太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。,強化持続 強化持続Lv3 太刀・双剣・操虫棍・スラッシュアックス・チャージアックスの強化状態を延長する。 太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。強化時間を大きく延長
ランナー,ランナーLv1,1,クエスト,ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量15%軽減,31,310,6,ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。,ランナー ランナーLv1 ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。 ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量15%軽減
ランナー,ランナーLv2,2,クエスト,ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量30%軽減,31,310,6,ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。,ランナー ランナーLv2 ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。 ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量30%軽減
